ACAD.PROGRAMS.ID,ACPG.ACAD.LEVEL
=GED,BSP
=HISET,BSP
=HSEMP,BSP
25490,CU
A10100,CU
A10100BM,CU
A10100CC,CU
A10100CJ,CU
A10100CT,CU
A10100EC,CU
A10100EH,CU
A10100HS,CU
A10100NR,CU
A10100NU,CU
A10100PP,CU
A10100SC,CU
A1010B,CU
A1010C,CU
A1010D,CU
A1010L,CU
A1010R,CU
A1010S,CU
A1010T,CU
A1010TE,CU
A1020A,CU
A1020C,CU
A10300,CU
A10300BK,CU
A10300MA,CU
A10300NU,CU
A10300PC,CU
A10300TM,CU
A10300VT,CU
A1030N,CU
A10400,CU
A10400EC,CU
A10400NU,CU
A1040D,CU
A1040T,CU
A1040TE,CU
A10500,CU
A10500EC,CU
A15160,CU
A15200,CU
A15240,CU
A15440,CU
A20100,CU
A25100,CU
A25120,CU
A25120A,CU
A2512I,CU
A25260,CU
A2526D,CU
A25290,CU
A25310,CU
A25330,CU
A25340,CU
A25360,CU
A2536A,CU
A25370,CU
A2537A,CU
A25400,CU
A25490,CU
A25510,CU
A25590,CU
A25590IS,CU
A25590NM,CU
A25800,CU
A30140,CU
A30140M,CU
A30300,CU
A30320,CU
A30340,CU
A30360,CU
A35130,CU
A35140,CU
A351400,CU
A351401,CU
A351402,CU
A35210,CU
A35220,CU
A40200,CU
A40220,CU
A40290,CU
A40300,CU
A40320,CU
A40400,CU
A45110,CU
A45110AP,CU
A45120,CU
A45120AP,CU
A45120RE,CU
A45120TR,CU
A45400,CU
A45730,CU
A45750,CU
A45780,CU
A50160,CU
A50210,CU
A50240,CU
A502400,CU
A502401,CU
A502402,CU
A50300,CU
A50420,CU
A50430,CU
A55140,CU
A55180,CU
A551800,CU
A551801,CU
A551802,CU
A55180A,CU
A55220,CU
A55220AD,CU
A55220BK,CU
A55220CO,CU
A55220CT,CU
A55220ED,CU
A55220SP,CU
A55220TR,CU
A5522A,CU
A5522B,CU
A55280,CU
A55280GIS,CU
A55280MA,CU
A55280NU,CU
A55280PC,CU
A55280PP,CU
A55280VT,CU
A55440,CU
A60130,CU
A60160,CU
AHS,BSP
BSKP,BSP
BSP,BSP
C-011,CU
C-050,CU
C011,CU
C0113,CU
C011A,CU
C050,CU
C0504,CU
C050A,CU
C15200,CU
C15200CP,CU
C15200NR,CU
C15240,CU
C15240AH,CU
C15240AHT,CU
C15240AT,CU
C15240S,CU
C15240SA,CU
C15300,CU
C15300C,CU
C15300CA,CU
C15300CR,CU
C15300I,CU
C15300J,CU
C15300M,CU
C15300R,CU
C15300S,CU
C15300W,CU
C15380,CU
C15380C,CU
C15380I,CU
C15380J,CU
C15380M,CU
C15380W,CU
C15400,CU
C25100,CU
C25100CP,CU
C25100SB,CU
C25100TP,CU
C25120,CU
C25120BB,CU
C25120BE,CU
C25120CB,CU
C25120CM,CU
C25120M,CU
C25120OS,CU
C25120S,CU
C25120SB,CU
C25120TR,CU
C25120X1,CU
C2512I,CU
C25260,CU
C25260CP,CU
C25260VB,CU
C25260WG,CU
C2526D,CU
C25310,CU
C25310CM,CU
C25310CP,CU
C25330,CU
C25340,CU
C25340CC,CU
C25340CP,CU
C25340NA,CU
C25340NS,CU
C25360,CU
C25370,CU
C2537A,CU
C25400,CU
C25490,CU
C25490SF,CU
C25510CP,CU
C25510CT,CU
C25510HP,CU
C25590B,CU
C25590C,CU
C25590CB,CU
C25590CP,CU
C25590S,CU
C25590T,CU
C25800,CU
C25800CA,CU
C25800CP,CU
C25800SB,CU
C25800TP,CU
C30140,CU
C30140DA,CU
C30140DS,CU
C30320,CU
C30340,CU
C30340HW,CU
C35100,CU
C35130,CU
C35130CP,CU
C35140,CU
C35140B,CU
C35140CB,CU
C35140CP,CU
C35140GB,CU
C35140IM,CU
C35140SP,CU
C35160,CU
C35180,CU
C35220,CU
C35220SP,CU
C35280,CU
C35300,CU
C40200,CU
C40200AD,CU
C40200B,CU
C40200CD,CU
C40200CP,CU
C40200ED,CU
C40200IM,CU
C40200IN,CU
C40200SP,CU
C40220,CU
C40220AGS,CU
C40220GPS,CU
C40220GSS,CU
C40220PMS,CU
C40290,CU
C40290DES,CU
C40290GIS,CU
C40320,CU
C40320AR,CU
C40320ED,CU
C40320EG,CU
C40320ML,CU
C45400,CU
C45480,CU
C50210,CU
C50210AD,CU
C50210B,CU
C50210CP,CU
C50210IM,CU
C50210IN,CU
C50210M,CU
C50240,CU
C50240AD,CU
C50240B,CU
C50240CM,CU
C50240CO,CU
C50240IM,CU
C50300,CU
C50420,CU
C50420AD,CU
C50420B,CU
C50420CP,CU
C50420IM,CU
C50430,CU
C50430M,CU
C50430P,CU
C50430R,CU
C55140,CU
C55160,CU
C55180,CU
C55180CC,CU
C55180CP,CU
C55180EM,CU
C55180II,CU
C55180IN,CU
C55180IT,CU
C55180IV,CU
C55180LO,CU
C55180PR,CU
C55220,CU
C55220AD,CU
C55220CP,CU
C55220SE,CU
C5522B,CU
C55230,CU
C55270,CU
C55280,CU
C55280BL,CU
C55280MA,CU
C55280NU,CU
C55280PC,CU
C55280VT,CU
C55290,CU
C55380,CU
C55400,CU
C55400CP,CU
C55440,CU
C55850,CU
C55860,CU
C55860CP,CU
C60100,CU
C60130,CU
C60130B,CU
C60130CP,CU
C60130IM,CU
C60130IN,CU
C60130MR,CU
C60130SP,CU
C60130WE,CU
C60130X1,CU
C60160,CU
C60160AS,CU
C60160AT,CU
C60160B,CU
C60160CP,CU
C60160D,CU
C60160ES,CU
C60160IM,CU
C60160IN,CU
C60160MR,CU
CONED,CE
D10100,CU
D15240,CU
D15300,CU
D15400,CU
D15440,CU
D25100,CU
D25120,CU
D25260,CU
D2526D,CU
D25310,CU
D25330,CU
D25340,CU
D25360,CU
D2536A,CU
D25370,CU
D2537A,CU
D25490,CU
D25510,CU
D25590,CU
D25800,CU
D30300,CU
D30320,CU
D30340,CU
D30360,CU
D35100,CU
D35130,CU
D35140,CU
D35160,CU
D35180,CU
D35220,CU
D35280,CU
D35300,CU
D40200,CU
D40220,CU
D45400,CU
D45400MC,CU
D45750,CU
D50210,CU
D50240,CU
D50300,CU
D50420,CU
D50430,CU
D55140,CU
D55180,CU
D55280,CU
D55280GIS,CU
D55280MA,CU
D55280NU,CU
D55280PC,CU
D55280VT,CU
D60100,CU
D60130,CU
D60160,CU
D60280,CU
G-020,CU
G-030,CU
G-301,CU
G-302,CU
G-303,CU
G-999,CU
G020,CU
G020A,CU
HSEGED,BSP
HSEHISET,BSP
HSEMP,BSP
MPHSE,BSP
P1012A,CU
P1012B,CU
P1012C,CU
P1012T,CU
P1032C,CU
P1042A,CU
P1042B,CU
P1042C,CU
P1042T,CU
P1052C,CU
PROG,BSP
SPEEDE,CU
T-007,CU
T-009,CU
T-014,CU
T-015,CU
T-018,CU
T-022,CU
T-030,CU
T-045,CU
T-049,CU
T-050,CU
T-058,CU
T-083,CU
T-099,CU
T-116,CU
T-129,CU
T-166,CU
T-192,CU
T-201,CU
T-208,CU
T-209,CU
T-210,CU
T-211,CU
T-301,CU
T-302,CU
T-303,CU
T-999,CU
T007,CU
T007A,CU
T009,CU
T009A,CU
T009C,CU
T014,CU
T014A,CU
T015,CU
T015A,CU
T018A,CU
T018C,CU
T022A,CU
T030A,CU
T030C,CU
T030M,CU
T030S,CU
T045,CU
T045A,CU
T049A,CU
T050,CU
T050A,CU
T058,CU
T058A,CU
T058B,CU
T058C,CU
T083,CU
T099R,CU
T116A,CU
T129,CU
T129A,CU
T166C,CU
T192A,CU
T192C,CU
T208,CU
T208A,CU
T208D,CU
T209,CU
T209D,CU
T210,CU
T210A,CU
T210D,CU
T211,CU
T211A,CU
T211D,CU
T301F,CU
T301W,CU
T90920,CU
T90930,CU
T90950,CU
T90970,CU
T90970EC,CU
T90980,CU
T90980CO,CU
T90990,CU
T90990AS,CU
T90990BC,CU
T90990BR,CU
T90990D,CU
T90990EA,CU
T90990EC,CU
T90990FC,CU
T90990GB,CU
T90990H,CU
T90990HO,CU
T90990J,CU
T90990MC,CU
T90990MO,CU
T90990PC,CU
T90990R,CU
T90990TA,CU
T9099D,CU
V-001,CU
V-003,CU
V-007,CU
V-009,CU
V-018,CU
V-025,CU
V-027,CU
V-032,CU
V-041,CU
V-050,CU
V-079,CU
V-099,CU
V-159,CU
V-160,CU
V-161,CU
V-162,CU
V-172,CU
V-301,CU
V-302,CU
V-303,CU
V-999,CU
V001,CU
V001C,CU
V001D,CU
V003,CU
V003D,CU
V003E,CU
V007,CU
V007D,CU
V009,CU
V009C,CU
V009D,CU
V009E,CU
V018,CU
V018D,CU
V021D,CU
V024,CU
V024C,CU
V025,CU
V025C,CU
V025D,CU
V027,CU
V027C,CU
V027D,CU
V032,CU
V032D,CU
V032P,CU
V037,CU
V037C,CU
V038D,CU
V041,CU
V041C,CU
V050,CU
V050C,CU
V050D,CU
V070,CU
V070C,CU
V077,CU
V077C,CU
V079D,CU
V099R,CU
V162D,CU
V172C,CU
