COURSE.SECTIONS.ID,SEC.TERM,SEC.LOCATION,X.SEC.DELIVERY.MODE,X.SEC.DELIVERY.METHOD
29148,2019SP,HS,ASY,WB
30335,2018FA,MC,,TR
30336,2018FA,MC,,TR
30337,2018FA,OL,,IN
30338,2018FA,MC,ASY,IN
30339,2018FA,OL,ASY,IN
30340,2018FA,OL,ASY,IN
30341,2018FA,MC,,TR
30342,2018FA,MC,,TR
30343,2018FA,OL,ASY,IN
30344,2018FA,OL,,IN
30345,2018FA,OL,,IN
30346,2018FA,MC,,TR
30347,2018FA,MC,,TR
30348,2018FA,MC,,TR
30349,2018FA,MC,,TR
30350,2018FA,MC,,TR
30351,2018FA,OL,,IN
30352,2018FA,OL,,IN
30353,2018FA,OL,,IN
30354,2018FA,OL,,IN
30355,2018FA,OL,,IN
30356,2018FA,OL,,IN
30357,2018FA,OL,,IN
30358,2018FA,OL,,IN
30359,2018FA,OL,,IN
30360,2018FA,OL,,IN
30361,2018FA,OL,,IN
30362,2018FA,OL,,IN
30363,2018FA,OL,,IN
30364,2018FA,OL,,IN
30366,2018FA,OL,,IN
30367,2018FA,OL,,IN
30368,2018FA,OL,,IN
30369,2018FA,OL,,IN
30370,2018FA,OL,,IN
30371,2018FA,OL,,IN
30373,2018FA,OL,,IN
30374,2018FA,OL,,IN
30375,2018FA,OL,,IN
30376,2018FA,OL,,IN
30377,2018FA,OL,,IN
30378,2018FA,OL,,IN
30379,2018FA,MC,,TR
30380,2018FA,MC,,TR
30381,2018FA,OL,,IN
30382,2018FA,MC,SYN,TR
30383,2018FA,OL,,IN
30384,2018FA,MC,,TR
30385,2018FA,OL,,IN
30386,2018FA,MC,,TR
30387,2018FA,MC,,TR
30388,2018FA,MC,,TR
30389,2018FA,MC,,TR
30390,2018FA,OL,,IN
30391,2018FA,MC,,TR
30392,2018FA,OL,,IN
30394,2018FA,OL,,IN
30395,2018FA,OL,,IN
30396,2018FA,OC,,CP
30397,2018FA,MC,,TR
30398,2018FA,MC,,TR
30399,2018FA,OC,,TR
30400,2018FA,OC,,TR
30401,2018FA,OC,,TR
30402,2018FA,OC,,TR
30403,2018FA,MC,,TR
30404,2018FA,HTC,,TR
30405,2018FA,OC,,TR
30406,2018FA,OC,,TR
30407,2018FA,OC,,TR
30408,2018FA,OC,,TR
30409,2018FA,OC,,TR
30410,2018FA,OC,,TR
30411,2018FA,MC,,TR
30412,2018FA,OC,,TR
30413,2018FA,HTC,SYN,TR
30414,2018FA,MC,,TR
30415,2018FA,OC,SYN,TR
30416,2018FA,OC,SYN,TR
30417,2018FA,OC,,TR
30418,2018FA,OC,SYN,TR
30419,2018FA,OC,,TR
30420,2018FA,OC,SYN,TR
30421,2018FA,OC,,TR
30422,2018FA,OC,SYN,TR
30560,2018FA,MC,SYN,TR
30561,2018FA,MC,SYN,TR
30562,2018FA,MC,SYN,TR
30563,2018FA,MC,SYN,TR
30564,2018FA,MC,SYN,TR
30565,2018FA,MC,,TR
30566,2018FA,MC,,TR
30567,2018FA,MC,,WB
30568,2018FA,MC,,WB
30569,2018FA,OL,,IN
