STUDENTS.ID,STU.TYPES,STU.TYPE.DATES,STU.TYPE.END.DATES,EffectiveDatetime,CurrentFlag
5012454,NULL,2012-05-09,9999-12-31,2020-02-13T18:54:12Z,Y
5019548,NULL,2012-05-01,9999-12-31,2022-03-02T04:24:39Z,Y
5012454,CCPP,2011-10-25,2012-05-09,2020-02-13T18:54:12Z,Y
5035886,NULL,2012-06-01,9999-12-31,2021-11-19T04:24:40Z,Y
5080718,EMPD,2018-05-19,9999-12-31,2020-02-13T18:54:07Z,Y
5047773,CCPP,2014-04-30,2015-05-15,2020-02-13T18:54:01Z,Y
5035886,HUSK,2010-08-16,2012-06-01,2021-11-19T04:24:40Z,Y
5048776,NULL,2014-08-12,9999-12-31,2021-12-18T04:24:42Z,Y
5043589,NULL,2012-05-01,9999-12-31,2021-12-16T04:24:38Z,Y
5048776,HUSK,2010-08-16,2014-08-12,2021-12-18T04:24:42Z,Y
5017757,NULL,2013-05-01,9999-12-31,2020-02-13T18:54:21Z,Y
5066965,EMPD,2018-05-03,9999-12-31,2021-11-19T04:24:38Z,Y
5048029,NULL,2014-05-01,9999-12-31,2022-03-30T03:24:39Z,Y
5087313,NULL,2012-05-01,9999-12-31,2020-02-13T18:54:16Z,Y
5066965,NULL,2017-09-01,2018-05-03,2021-11-19T04:24:38Z,Y
5017757,CCPP,2012-01-09,2013-05-01,2020-02-13T18:54:21Z,Y
5048029,CCPP,2013-11-21,2014-05-01,2022-03-30T03:24:39Z,Y
5091104,NULL,2016-10-15,9999-12-31,2020-02-13T18:54:20Z,Y
5091104,EMPD,2016-08-08,2016-10-15,2020-02-13T18:54:20Z,Y
5060828,NULL,2020-12-31,9999-12-31,2021-06-23T03:24:36Z,Y
5080576,CCPP,2016-06-17,2017-06-01,2020-02-13T18:54:09Z,Y
5060828,ISQV,2020-01-13,2020-12-31,2021-06-23T03:24:36Z,Y
5043589,HUSK,2006-01-24,2012-05-01,2021-12-16T04:24:38Z,Y
5010193,NULL,2013-05-01,9999-12-31,2021-08-18T03:24:41Z,Y
5034551,MILD,2018-08-14,9999-12-31,2020-02-13T18:54:06Z,Y
5097675,NULL,2017-05-15,9999-12-31,2021-05-08T03:24:40Z,Y
5097675,CCPP,2015-03-25,2017-05-15,2021-05-08T03:24:40Z,Y
5078847,NULL,2015-05-15,9999-12-31,2020-07-29T03:25:42Z,Y
5010193,CCPP,2012-08-07,2013-05-01,2021-08-18T03:24:41Z,Y
5060447,NULL,2014-05-01,9999-12-31,2020-05-27T03:25:50Z,Y
5037035,NULL,2017-06-01,9999-12-31,2021-12-17T04:24:40Z,Y
5078847,CCPP,2014-04-16,2015-05-15,2020-07-29T03:25:42Z,Y
5028696,EMPD,2018-08-14,9999-12-31,2020-02-13T18:54:14Z,Y
5060447,CCPP,2014-01-06,2014-05-01,2020-05-27T03:25:50Z,Y
5047773,NULL,2015-05-15,9999-12-31,2020-02-13T18:54:01Z,Y
5032189,NULL,2022-01-07,9999-12-31,2021-01-08T04:24:42Z,Y
5032189,MILD,2021-01-07,2022-01-07,2021-01-08T04:24:42Z,Y
5037035,CCPP,2016-05-06,2017-06-01,2021-12-17T04:24:40Z,Y
5019762,NULL,2017-05-15,9999-12-31,2022-03-22T03:24:40Z,Y
5061884,NULL,2012-05-01,9999-12-31,2021-09-28T03:24:39Z,Y
5095383,EMPD,2018-08-14,9999-12-31,2020-02-13T18:54:07Z,Y
5063008,NULL,2016-05-15,9999-12-31,2020-02-13T18:54:25Z,Y
5019762,CCPP,2015-03-26,2017-05-15,2022-03-22T03:24:40Z,Y
5067460,CCPP,2013-04-01,2014-05-01,2020-07-29T03:25:16Z,Y
5087736,NULL,2018-08-01,9999-12-31,2021-08-17T03:24:40Z,Y
5064168,NULL,2014-05-01,9999-12-31,2020-07-30T03:25:24Z,Y
5064168,CCPP,2013-08-05,2014-05-01,2020-07-30T03:25:24Z,Y
