STC.PERSON.ID,STC.TERM,STUDENT.ACAD.CRED.ID,STC.CRED,STC.ACAD.LEVEL,STC.COURSE.LEVEL,STC.VERIFIED.GRADE,STC.SECTION.NO,STC.COURSE.SECTION,STC.STATUS,EffectiveDatetime
5062271,2020SP,3840178,2,CU,AAS,,01,34298,X,2021-08-11T13:01:17Z
5073540,NULL,10160,0,CU,DEV,NULL,NULL,,NC,2020-01-31T18:01:24Z
5070376,2020SU,3856853,3,CU,CAA,27,IN1,34578,W,2021-01-22T02:49:29Z
5070376,2020FA,3856854,3,CU,CAA,,IN1,35068,NP,2021-01-22T02:49:29Z
5070376,2020FA,3856855,3,CU,CAA,,IN1,35035,NP,2021-01-22T02:49:29Z
5070376,2020FA,3856856,3,CU,CAA,,IN1,35028,C,2021-01-22T02:49:29Z
5037035,2020SP,3836164,4,CU,CAA,3,01,33963,N,2021-08-11T13:01:16Z
5037035,2020SP,3836166,3,CU,AAS,2,IN1,33991,N,2021-08-11T13:01:16Z
5037035,2020SP,3836167,3,CU,AAS,27,IN1,34003,W,2021-08-11T13:01:16Z
5037035,2020SP,3836168,3,CU,CAA,3,06,34145,N,2021-08-11T13:01:16Z
5067472,2020CE1,3839856,0,CE,CCE,33,10020,33852,N,2020-07-14T01:50:50Z
5067472,2020CE2,3859246,0,CE,CCE,33,10020,35494,N,2020-07-08T01:52:13Z
5010764,2020FA,3859247,3,CU,AAS,2,IN1,34937,N,2021-01-22T02:49:30Z
5069172,2020FA,3858929,3,CU,CAA,,01,34971,C,2021-01-22T02:49:30Z
5069172,2020FA,3858930,3,CU,CAA,2,IN1,35000,N,2021-01-22T02:49:30Z
5069172,2020FA,3858931,3,CU,CAA,,02,35062,C,2021-01-22T02:49:30Z
5069172,2020FA,3858932,3,CU,CAA,2,IN1,35165,N,2021-01-22T02:49:30Z
5016114,NULL,3839133,1,CU,DEV,NULL,NULL,,NC,2020-02-01T02:04:19Z
5014625,,3859062,2,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859063,3,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859064,1,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859065,2,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859066,2,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859067,2,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5014625,,3859068,2,CU,SUP,,,,NC,2021-01-22T02:49:30Z
5030356,2020SP,3838728,2,CU,AAS,1,01,33981,N,2021-08-11T13:01:17Z
5030356,2020SP,3838729,1,CU,AAS,1,60,33982,N,2021-08-11T13:01:17Z
5030356,2020SP,3838730,2,CU,AAS,2,01,33979,N,2021-08-11T13:01:17Z
5012868,2020FA,3855588,4,CU,CAA,2,IN1,35076,N,2021-02-05T02:49:28Z
5012868,2020FA,3855589,3,CU,CAA,1,IN1,35066,N,2021-02-05T02:49:28Z
5012868,2020FA,3855590,3,CU,CAA,1,IN1,34993,N,2021-02-05T02:49:28Z
5012868,2020FA,3855591,3,CU,CAA,1,IN1,35053,N,2021-02-05T02:49:28Z
5099121,2020CE1,3858347,0,CE,CCE,33,30822,35324,N,2020-05-27T01:50:48Z
5010778,,3858353,3,CU,SUP,29,,,TR,2021-01-22T02:49:30Z
5010778,,3858357,3,CU,CAA,29,,,TR,2021-01-22T02:49:30Z
5010778,,3858358,3,CU,AAS,29,,,TR,2021-01-22T02:49:30Z
5089557,,3858377,3,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858378,3,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858379,3,CU,AAS,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858380,3,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858381,3,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858382,2,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5089557,,3858383,3,CU,CAA,29,,,TR,2021-02-05T02:49:30Z
5050978,NULL,10459,0,CU,DEV,NULL,NULL,,NC,2020-01-31T18:01:31Z
5050978,NULL,10460,0,CU,DEV,NULL,NULL,,NC,2020-01-31T18:01:31Z
5050978,NULL,10461,0,CU,DEV,NULL,NULL,,NC,2020-01-31T18:01:31Z
5055366,1987SU,1046189,5,CU,NULL,2,01,,N,2020-01-31T17:46:41Z
5055366,1987SU,1046190,5,CU,NULL,37,01,,W,2020-01-31T17:46:41Z
5055366,1988FA,1046191,3,CU,NULL,2,05,,N,2020-01-31T17:46:41Z
5055366,1988FA,1046192,5,CU,DIP,1,01,,N,2020-01-31T17:46:41Z
5055366,1988FA,1046193,5,CU,DIP,1,01,,N,2020-01-31T17:46:41Z
5055366,1988WI,1046194,3,CU,NULL,2,03,,N,2020-01-31T17:46:41Z
5055366,1988WI,1046195,5,CU,NULL,9,02,,N,2020-01-31T17:46:41Z
5055366,1988WI,1046196,5,CU,NULL,1,02,,N,2020-01-31T17:46:41Z
5055366,1989SP,1046197,4,CU,NULL,3,02,,N,2020-01-31T17:46:42Z
5055366,1989SP,1046198,4,CU,NULL,2,03,,N,2020-01-31T17:46:42Z
5055366,1989SP,1046199,5,CU,CAA,27,02,,W,2020-01-31T17:46:42Z
5050978,NULL,10462,0,CU,DEV,NULL,NULL,,NC,2020-01-31T18:01:31Z
5055366,1989SP,1046200,5,CU,NULL,2,01,,N,2020-01-31T17:46:42Z
5055366,1989SP,1046201,2,CU,NULL,1,01,,N,2020-01-31T17:46:42Z
5055366,1989SU,1046202,5,CU,NULL,6,01,,N,2020-01-31T17:46:42Z
5092424,2020SP,3834790,5,CU,AAS,1,01,33927,N,2021-08-11T13:01:16Z
5092424,2020SP,3834791,2,CU,AAS,2,01,33928,N,2021-08-11T13:01:16Z
5092424,2020SP,3834792,3,CU,AAS,1,01,33929,N,2021-08-11T13:01:16Z
5067902,2020SP,3835338,3,CU,AAS,3,IN1,33922,N,2021-08-11T13:01:16Z
5067902,2020SP,3835339,3,CU,AAS,2,IN1,33959,N,2021-08-11T13:01:16Z
5067902,2020SP,3835340,3,CU,AAS,2,IN1,33955,N,2021-08-11T13:01:16Z
5067902,2020SP,3835341,3,CU,AAS,2,IN1,33958,N,2021-08-11T13:01:16Z
5094604,2020SP,3836563,3,CU,DEV,,INA1,34141,X,2021-08-11T13:01:16Z
5031326,2020SP,3839330,4,CU,AAS,1,IN1,33887,N,2021-08-11T13:01:17Z
5003491,2020SP,3840650,4,CU,CAA,2,01,34046,N,2021-08-11T13:01:17Z
5003491,2020SP,3840651,3,CU,CAA,2,06,34156,N,2021-08-11T13:01:17Z
