STPR.STUDENT,STPR.ACAD.PROGRAM,STPR.START.DATE,STPR.END.DATE,EffectiveDatetime,CurrentFlag
5008038,CONED,1986-01-14,9999-12-31,2020-02-19T19:13:53Z,Y
5030986,BSP,1997-08-19,9999-12-31,2020-02-19T19:14:29Z,Y
5014868,C45400,1998-05-18,2013-07-30,2020-02-19T19:13:38Z,Y
5043181,CONED,1997-09-16,9999-12-31,2020-02-19T19:14:38Z,Y
5009131,T90970,1998-08-19,2000-01-09,2020-02-19T19:13:38Z,Y
5017903,BSP,2000-08-16,9999-12-31,2020-02-19T19:13:40Z,Y
5002272,T-192,1990-03-07,2016-12-08,2020-02-19T19:13:47Z,Y
5061267,CONED,2001-04-23,9999-12-31,2020-02-19T19:14:09Z,Y
5002272,CONED,1990-02-12,9999-12-31,2020-02-19T19:14:04Z,Y
5055366,T-099,1996-09-09,2016-12-08,2020-02-19T19:14:37Z,Y
5043114,CONED,1996-03-19,9999-12-31,2020-02-19T19:14:03Z,Y
5011800,BSP,2001-01-03,9999-12-31,2020-02-19T19:13:38Z,Y
5055366,CONED,1996-10-15,9999-12-31,2020-02-19T19:13:48Z,Y
5030986,CONED,1999-08-16,9999-12-31,2020-02-19T19:13:44Z,Y
5014868,CONED,1999-08-16,9999-12-31,2020-02-19T19:13:55Z,Y
5060208,A10300NU,2003-01-09,2003-08-14,2020-02-19T19:13:49Z,Y
5042767,T90970,2002-01-10,2002-08-14,2020-02-19T19:14:32Z,Y
5081247,T90970,1999-08-18,2016-12-08,2020-02-19T19:14:37Z,Y
5065990,T90980,2004-01-09,2004-08-15,2020-02-19T19:14:09Z,Y
5009131,A55180A,2003-01-09,2010-12-14,2020-02-19T19:14:04Z,Y
5081247,BSP,2002-01-03,9999-12-31,2020-02-19T19:13:41Z,Y
5019274,T90970,1999-08-18,2007-01-07,2020-02-19T19:14:35Z,Y
5083959,CONED,2004-02-18,9999-12-31,2020-02-19T19:13:57Z,Y
5060208,A10300,2004-08-16,2005-01-06,2020-02-19T19:14:32Z,Y
5019548,T90970,2004-08-16,2005-06-01,2020-02-19T19:14:17Z,Y
5046814,T90970,2004-08-16,2007-08-15,2020-02-19T19:14:16Z,Y
5047875,T90970,2004-08-16,2013-07-30,2020-02-19T19:13:57Z,Y
5058370,BSP,2002-05-16,9999-12-31,2020-02-19T19:13:42Z,Y
5065990,A10300NU,2004-08-16,2005-08-14,2020-02-19T19:14:39Z,Y
5093866,T90970,2004-08-16,2016-12-08,2020-02-19T19:14:08Z,Y
5043567,T90970,2002-08-15,2006-08-14,2020-02-19T19:14:01Z,Y
5050209,BSP,2002-08-15,9999-12-31,2020-02-19T19:14:06Z,Y
5017612,T90990,2002-05-22,2016-12-08,2020-02-19T19:14:30Z,Y
5012511,CONED,2002-08-05,9999-12-31,2020-02-19T19:13:53Z,Y
5028274,T90970,2006-01-09,2007-06-01,2020-02-19T19:13:55Z,Y
5061994,A25360,2006-01-09,2010-08-15,2020-02-19T19:14:15Z,Y
5045480,BSP,2003-08-18,9999-12-31,2020-02-19T19:14:15Z,Y
5065990,A1010R,2006-01-09,2007-08-15,2022-02-12T03:38:30Z,Y
5058370,CONED,1999-06-08,9999-12-31,2020-02-19T19:14:39Z,Y
5043589,T90970,2006-01-09,2006-12-12,2020-02-19T19:14:03Z,Y
5040660,A55220,2006-01-09,2012-12-18,2020-02-19T19:14:25Z,Y
5018206,C55220,2004-05-24,2005-12-13,2020-02-19T19:13:45Z,Y
5009131,A55180,2000-01-10,2003-01-08,2020-02-19T19:14:05Z,Y
5060208,A1010D,2005-01-07,2006-08-14,2020-02-19T19:14:31Z,Y
5020251,A10300VT,2005-01-07,2016-12-08,2020-02-19T19:14:14Z,Y
5005626,BSP,2006-08-14,9999-12-31,2020-02-19T19:14:35Z,Y
5009131,BSP,2000-01-10,9999-12-31,2020-02-19T19:14:34Z,Y
5011800,C55400,2005-01-07,2005-12-13,2020-02-19T19:14:37Z,Y
5061267,BSP,2001-05-16,9999-12-31,2020-02-19T19:14:38Z,Y
5046814,BSP,2005-08-15,9999-12-31,2020-02-19T19:14:11Z,Y
5087401,CONED,2003-05-19,9999-12-31,2020-02-19T19:13:58Z,Y
5061994,A55220,2005-08-15,2006-01-08,2020-02-19T19:14:35Z,Y
5046814,AHS,2005-08-15,2007-06-30,2020-02-19T19:14:11Z,Y
5087401,BSP,2003-05-19,9999-12-31,2020-02-19T19:14:05Z,Y
5012511,BSP,1996-03-04,9999-12-31,2020-02-19T19:14:04Z,Y
5058370,C15300,2001-01-08,2007-01-07,2020-02-19T19:13:52Z,Y
5043181,A45400,2003-05-21,2005-08-14,2020-02-19T19:14:33Z,Y
5065990,BSP,2004-05-17,9999-12-31,2020-02-19T19:14:29Z,Y
5060208,A10100,2003-08-15,2004-08-15,2020-02-19T19:14:31Z,Y
5065990,T90970,2003-08-15,2004-01-08,2020-02-19T19:14:09Z,Y
5060786,C55400,2003-08-15,2005-12-13,2020-02-19T19:14:38Z,Y
5042767,BSP,2003-08-15,9999-12-31,2020-02-19T19:13:44Z,Y
5020251,BSP,2003-08-15,9999-12-31,2020-02-19T19:13:43Z,Y
5022008,BSP,2005-01-03,9999-12-31,2020-02-19T19:14:33Z,Y
5052020,T90970,2003-08-15,2007-08-15,2020-02-19T19:13:51Z,Y
5061994,T90980CO,2003-08-15,2005-08-14,2020-02-19T19:13:56Z,Y
5043567,BSP,2005-01-03,9999-12-31,2020-02-19T19:14:32Z,Y
5014985,CONED,2004-09-15,9999-12-31,2020-02-19T19:14:11Z,Y
5022008,CONED,2005-01-03,9999-12-31,2020-02-19T19:13:41Z,Y
5020251,T90980,2003-08-15,2005-01-06,2020-02-19T19:13:45Z,Y
5029930,CONED,2005-06-07,9999-12-31,2020-02-19T19:14:41Z,Y
5068645,A55140,2005-05-23,2006-05-09,2020-02-19T19:14:10Z,Y
5073540,A55220,2005-05-23,2011-05-24,2020-02-19T19:14:35Z,Y
5045480,T90970,2003-08-15,2006-05-21,2020-02-19T19:14:17Z,Y
5050209,CONED,2003-09-08,9999-12-31,2020-02-19T19:13:50Z,Y
5046814,CONED,2005-11-28,9999-12-31,2020-02-19T19:13:57Z,Y
5043704,D55280NU,2006-08-15,2008-08-17,2020-02-19T19:13:41Z,Y
5065990,A10100,2005-08-15,2006-01-08,2020-02-19T19:14:41Z,Y
5043181,D55280NU,2006-08-15,2007-08-15,2020-02-19T19:13:40Z,Y
5043704,D55280NU,2005-08-15,2006-08-14,2020-02-19T19:13:41Z,Y
5043181,D55280NU,2005-08-15,2006-08-14,2020-02-19T19:13:40Z,Y
5068645,D55140,2004-08-16,2005-05-22,2020-02-19T19:14:07Z,Y
5053044,BSP,2004-08-16,9999-12-31,2020-02-19T19:13:56Z,Y
5071683,BSP,2004-08-16,9999-12-31,2020-02-19T19:14:00Z,Y
5026830,BSP,2006-08-14,9999-12-31,2020-02-19T19:14:23Z,Y
5043181,BSP,2001-08-15,9999-12-31,2020-02-19T19:14:22Z,Y
5061267,C25100,2001-08-15,2011-05-10,2020-02-19T19:13:56Z,Y
5012511,C55220,2002-01-10,2014-12-16,2020-02-19T19:13:45Z,Y
5034213,T90970,2006-08-15,2009-12-14,2020-02-19T19:14:06Z,Y
5060208,BSP,2002-01-11,9999-12-31,2020-02-19T19:14:38Z,Y
5061267,A40200,2001-08-16,2003-08-14,2020-02-19T19:13:57Z,Y
5043181,A10300NU,2001-08-16,2003-05-20,2020-02-19T19:14:05Z,Y
5050209,A10100,2001-08-16,2011-07-21,2020-02-19T19:13:44Z,Y
5043567,CONED,2004-06-21,9999-12-31,2020-02-19T19:13:42Z,Y
5065990,CONED,2004-06-21,9999-12-31,2020-02-19T19:13:43Z,Y
5077804,D55280,2007-01-08,2010-01-10,2020-02-19T19:14:20Z,Y
5060176,C25340,2006-08-15,2010-05-11,2020-02-19T19:13:59Z,Y
5058370,A10400,2007-01-08,2007-12-15,2020-02-19T19:14:01Z,Y
5043567,D55280,2006-08-15,2009-12-14,2020-02-19T19:14:26Z,Y
5008038,C60100,2007-01-08,2014-08-18,2020-05-27T02:38:48Z,Y
5014346,BSP,2005-05-16,9999-12-31,2020-02-19T19:13:52Z,Y
5060176,A25340,2006-08-15,2010-12-22,2020-02-19T19:14:24Z,Y
5061147,C55220,2006-08-15,2007-12-14,2020-02-19T19:13:49Z,Y
5026939,A10100,2007-01-08,2016-12-08,2021-12-23T03:38:22Z,Y
5019274,T90990,2007-01-08,2016-12-08,2020-02-19T19:14:35Z,Y
5026939,BSP,2007-06-01,9999-12-31,2020-02-19T19:14:03Z,Y
5068645,BSP,2007-05-18,9999-12-31,2020-02-19T19:14:19Z,Y
5065990,D55280,2007-08-16,2010-07-21,2020-02-19T19:14:34Z,Y
5058370,D55280NU,2008-01-07,2010-07-16,2020-02-19T19:13:58Z,Y
5010090,CONED,2007-06-14,9999-12-31,2020-02-19T19:14:35Z,Y
5008727,T90970,2008-01-07,2010-11-02,2020-02-19T19:14:33Z,Y
5061147,C55290,2007-08-15,2008-12-17,2020-02-19T19:13:49Z,Y
