ID,Term_ID,Term_Cohort,Cohort
5088966,2019FA,2019RP,NULL
5075533,2019FA,2019RP,NULL
5075533,2019SU,2019RP,NULL
5002610,2019FA,2019FT,2019FT
5042408,2019FA,2019TP,2019TP
5096731,2019FA,2019TF,2019TF
5020872,2019SU,2019HP,NULL
5056001,2019FA,2019HF,NULL
5056001,2019SU,2019HP,NULL
5051209,2019FA,2019HP,NULL
5051209,2019SU,2019HP,NULL
5028487,2019FA,2019HP,NULL
5006071,2019FA,2019HP,NULL
5006071,2019SU,2019HP,NULL
5012533,2019FA,2019HP,NULL
5012533,2019SU,2019HP,NULL
5070826,2019FA,2019HP,NULL
5070826,2019SU,2019HP,NULL
5079991,2019FA,2019HP,NULL
5026093,2019FA,2019HP,NULL
5002610,2020FA,2020RF,NULL
5038397,2020SU,2020RP,NULL
5042408,2020FA,2020RP,NULL
5068484,2020FA,2020RF,NULL
5044376,2020SU,2020TP,NULL
5099331,2020FA,2020TF,2020TF
5034455,2020FA,2020FT,2020FT
5098817,2020FA,2020TF,2020TF
5016889,2020FA,2020TP,2020TP
5017383,2020FA,2020FT,2020FT
5036030,2020FA,2020PT,2020PT
5040071,2020FA,2020HP,NULL
5056001,2020FA,2020HP,NULL
5051209,2020FA,2020HF,NULL
5051209,2020SU,2020HP,NULL
5083618,2019FA,2019RP,NULL
5083618,2019SU,2019RP,NULL
5061503,2019FA,2019RP,NULL
5012079,2019FA,2019RP,NULL
5029930,2019FA,2019HP,NULL
5034199,2019FA,2019HP,NULL
5005102,2019FA,2019HP,NULL
5088004,2019FA,2019HP,NULL
5041619,2019FA,2019HP,NULL
5093961,2019FA,2019HP,NULL
5084776,2019FA,2019HP,NULL
5053119,2019FA,2019HP,NULL
5075054,2019SU,2019HP,NULL
5064427,2019SU,2019HP,NULL
5059674,2019FA,2019HP,NULL
5019549,2020SU,2020RP,NULL
5053395,2020SU,2020RP,NULL
5061503,2020FA,2020RP,NULL
5084776,2020FA,2020RP,NULL
5074814,2020SU,2020RP,NULL
5094605,2020FA,2020RP,NULL
5044646,2020SU,2020TP,NULL
5011704,2020FA,2020PT,2020PT
5025444,2020SU,2020HP,NULL
5005102,2020FA,2020HP,NULL
5088004,2020FA,2020HP,NULL
5041619,2020FA,2020HP,NULL
5093961,2020FA,2020HP,NULL
5039804,2019FA,2019RF,NULL
5031562,2019FA,2019FT,2019FT
5005609,2019FA,2019RF,NULL
5005330,2019FA,2019RF,NULL
5053832,2019SU,2019RP,NULL
5067460,2019FA,2019HP,NULL
5045841,2019FA,2019HF,NULL
5045841,2019SU,2019HP,NULL
5092009,2019FA,2019HP,NULL
5040314,2019FA,2019HP,NULL
5039890,2019FA,2019HP,NULL
5018862,2019FA,2019HP,NULL
5048481,2019FA,2019HP,NULL
5034390,2019SU,2019HP,NULL
5053479,2019FA,2019HF,NULL
5013025,2019FA,2019HP,NULL
5075957,2019FA,2019RP,NULL
5017973,2020FA,2020RF,NULL
5017973,2020SU,2020RF,NULL
5092009,2020FA,2020HP,NULL
5018862,2020FA,2020HP,NULL
